Test-ID,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,mblock_k,ublock_kt,l1_acc,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
11,HiFi4,Int8,1,1,1,2,16,2,2,r,2,Int8,1,1,1,16,4,2,2,r,2,Int32,1,1,1,2,4,2,2,r,2,16,2,False,0,127,39.53296661376953,21219272,0.8153893631247829,1.6307787262495659,0.7968530932921611,0.8153674640675703,1.6307349281351406,0.7968363853387619
20,HiFi4,Int8,1,1,1,2,32,2,2,r,2,Int8,1,1,1,32,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,16,4,False,0,127,55.0755615234375,15231090,2.271813017805512,2.271813017805512,0.5550215376064473,2.2718668197745533,2.2718668197745533,0.5550583707403738
22,HiFi4,Int8,1,1,1,2,16,2,2,r,2,Int8,1,1,1,16,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,16,2,False,0,127,39.30833435058594,10670267,1.621541233155798,1.621541233155798,0.7923349554855107,1.621468703641624,1.621468703641624,0.7923085710976117
34,HiFi4,Int8,1,1,1,4,16,2,2,r,2,Int8,1,1,1,16,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,8,4,False,0,127,56.4323616027832,14864890,2.3276935396378478,1.1638467698189239,1.1373740384194262,2.327834783843002,1.163917391921501,1.137464723923285
35,HiFi4,Int8,1,1,1,4,16,2,2,r,2,Int8,1,1,1,16,4,2,2,r,2,Int32,1,1,1,4,4,2,2,r,2,8,4,False,0,127,57.006591796875,29430308,1.1757288454967336,1.1757288454967336,1.1489912488017353,1.1757609876186141,1.1757609876186141,1.1490391469909182
36,HiFi4,Int8,1,1,1,2,16,2,2,r,2,Int8,1,1,1,16,4,2,2,r,2,Int32,1,1,1,2,4,2,2,r,2,8,4,False,0,127,57.03395462036133,14708095,1.1763497880199691,2.3526995760399383,1.1495759650921027,1.1763252820980554,2.352650564196111,1.149590616595827
38,HiFi4,Int8,1,1,1,2,16,2,2,r,2,Int8,1,1,1,16,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,8,4,False,0,127,56.56197738647461,7415413,2.333297223164243,2.333297223164243,1.1400628984584997,2.3331814424901216,2.3331814424901216,1.1400772957622185
39,HiFi4,Int8,1,1,1,4,8,2,1,r,2,Int8,1,1,1,8,4,1,2,r,2,Int32,1,1,1,4,4,2,2,r,2,8,1,False,0,127,25.87229347229004,16211567,0.5336239619389264,0.5336239619389264,2.085937243550529,0.533616028604761,0.533616028604761,2.085953566364066
40,HiFi4,Int8,1,1,1,2,8,2,1,r,2,Int8,1,1,1,8,4,1,2,r,2,Int32,1,1,1,2,4,2,2,r,2,8,1,False,0,127,25.783161163330078,8133805,0.5318107432713596,1.0636214865427192,2.0787731512717658,0.5317776858432185,1.063555371686437,2.078767317387127
41,HiFi4,Int8,1,1,1,2,8,2,1,r,2,Int8,1,1,1,8,8,1,2,r,2,Int32,1,1,1,2,8,2,2,r,2,8,1,False,0,127,25.893390655517578,16198357,0.2670362893440699,1.0681451573762797,2.08767019369714,0.26702560018895743,1.0681024007558297,2.0876546923863946
