Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
151,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,7,1,1,r,2,Bfp8_b,1,1,1,4,7,1,1,r,2,0,127,43.245361328125,2983534,1.6190329354430144,N/A,1.6172700897411816,1.6171842385573618,N/A,1.6171842385573618
152,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,7,1,1,r,2,Bfp8_b,1,1,1,2,7,1,1,r,2,0,127,43.116539001464844,1496224,1.6160155227274415,N/A,1.61248721389576,1.61236691832239,N/A,1.61236691832239
153,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,4,4,2,r,2,Bfp8_b,1,1,1,7,4,4,2,r,2,0,127,43.71952819824219,23609405,1.635236771969484,N/A,1.6349556504955434,1.634915970139866,N/A,1.634915970139866
154,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,4,1,4,r,2,Bfp8_b,1,1,1,7,4,1,4,r,2,0,127,43.59119415283203,11839455,1.6307390790938674,N/A,1.6301687792521162,1.6301169808914346,N/A,1.6301169808914346
155,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,4,1,2,r,2,Bfp8_b,1,1,1,7,4,1,2,r,2,0,127,43.49262237548828,5933144,1.6276051449848907,N/A,1.6264922538069289,1.6264308299276067,N/A,1.6264308299276067
156,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,4,1,8,r,2,Bfp8_b,1,1,1,7,4,1,8,r,2,0,127,43.71950912475586,23609414,1.6352373305389545,N/A,1.6349555806983906,1.63491534690357,N/A,1.63491534690357
157,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,4,4,1,r,2,Bfp8_b,1,1,1,7,4,4,1,r,2,0,127,43.59100341796875,11839507,1.6307454673784785,N/A,1.6301605913858808,1.6301098212957685,N/A,1.6301098212957685
158,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,4,1,1,r,2,Bfp8_b,1,1,1,4,4,1,1,r,2,0,127,43.16802215576172,1707931,1.6175746075597124,N/A,1.614429087063367,1.6142920996222914,N/A,1.6142920996222914
159,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,4,1,1,r,2,Bfp8_b,1,1,1,2,4,1,1,r,2,0,127,42.56183624267578,866128,1.5977635186359818,N/A,1.5917391268929673,1.5916235937413408,N/A,1.5916235937413408
160,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,4,1,1,r,2,Bfp8_b,1,1,1,7,4,1,1,r,2,0,127,43.24494171142578,2983563,1.619012676190663,N/A,1.6172635334180157,1.6171685196525094,N/A,1.6171685196525094
