input0,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,8,2,4,1,7471
Bfp8_b,LoFi,1,8,2,4,2,12904
Bfp8_b,LoFi,1,8,2,8,1,12371
Bfp8_b,LoFi,1,8,4,1,1,12639
Bfp8_b,LoFi,1,8,4,1,2,13038
Bfp8_b,LoFi,1,8,4,1,4,14933
Bfp8_b,LoFi,1,8,4,2,1,12807
Bfp8_b,LoFi,1,8,4,2,2,14983
Bfp8_b,LoFi,1,8,4,4,1,14879
Bfp8_b,LoFi,1,8,8,1,1,25412
Bfp8_b,LoFi,1,8,8,1,2,26103
Bfp8_b,LoFi,1,8,8,2,1,26037
Bfp8_b,LoFi,1,2,2,1,1,1305
Bfp8_b,LoFi,1,2,2,1,2,1477
Bfp8_b,LoFi,1,2,2,1,4,1925
Bfp8_b,LoFi,1,2,2,1,8,2933
Bfp8_b,LoFi,1,2,2,2,1,1481
Bfp8_b,LoFi,1,2,2,2,2,1899
Bfp8_b,LoFi,1,2,2,2,4,2859
Bfp8_b,LoFi,1,2,2,4,1,1922
Bfp8_b,LoFi,1,2,2,4,2,2900
Bfp8_b,LoFi,1,2,2,8,1,2884
Bfp8_b,LoFi,1,2,4,1,1,2859
Bfp8_b,LoFi,1,2,4,1,2,3098
Bfp8_b,LoFi,1,2,4,1,4,3828
Bfp8_b,LoFi,1,2,4,1,8,6244
Bfp8_b,LoFi,1,2,4,2,1,3107
Bfp8_b,LoFi,1,2,4,2,2,4150
Bfp8_b,LoFi,1,2,4,2,4,6193
Bfp8_b,LoFi,1,2,4,4,1,3793
Bfp8_b,LoFi,1,2,4,4,2,6150
Bfp8_b,LoFi,1,2,4,8,1,6172
Bfp8_b,LoFi,1,2,8,1,1,6079
Bfp8_b,LoFi,1,2,8,1,2,6387
Bfp8_b,LoFi,1,2,8,1,4,8850
Bfp8_b,LoFi,1,2,8,2,1,6464
Bfp8_b,LoFi,1,2,8,2,2,8537
Bfp8_b,LoFi,1,2,8,2,4,12824
Bfp8_b,LoFi,1,2,8,4,1,9036
Bfp8_b,LoFi,1,2,8,4,2,12889
Bfp8_b,LoFi,1,2,8,8,1,12689
Bfp8_b,LoFi,1,4,2,1,1,2725
Bfp8_b,LoFi,1,4,2,1,2,3121
Bfp8_b,LoFi,1,4,2,1,4,4073
Bfp8_b,LoFi,1,4,2,1,8,6217
Bfp8_b,LoFi,1,4,2,2,1,3090
Bfp8_b,LoFi,1,4,2,2,2,3816
Bfp8_b,LoFi,1,4,2,2,4,6228
Bfp8_b,LoFi,1,4,2,4,1,3780
Bfp8_b,LoFi,1,4,2,4,2,6196
Bfp8_b,LoFi,1,4,2,8,1,6258
Bfp8_b,LoFi,1,4,4,1,1,6133
Bfp8_b,LoFi,1,4,4,1,2,6384
Bfp8_b,LoFi,1,4,4,1,4,8515
Bfp8_b,LoFi,1,4,4,1,8,12767
Bfp8_b,LoFi,1,4,4,2,1,6392
Bfp8_b,LoFi,1,4,4,2,2,8778
Bfp8_b,LoFi,1,4,4,2,4,12719
Bfp8_b,LoFi,1,4,4,4,1,9293
Bfp8_b,LoFi,1,4,4,4,2,12750
Bfp8_b,LoFi,1,4,4,8,1,12818
Bfp8_b,LoFi,1,4,8,1,1,12499
Bfp8_b,LoFi,1,4,8,1,2,13165
Bfp8_b,LoFi,1,4,8,1,4,17102
Bfp8_b,LoFi,1,4,8,2,1,13132
Bfp8_b,LoFi,1,4,8,2,2,17759
Bfp8_b,LoFi,1,4,8,4,1,16739
Bfp8_b,LoFi,1,8,2,1,1,6082
Bfp8_b,LoFi,1,8,2,1,2,6476
Bfp8_b,LoFi,1,8,2,1,4,8125
Bfp8_b,LoFi,1,8,2,1,8,12806
Bfp8_b,LoFi,1,8,2,2,1,6401
Bfp8_b,LoFi,1,8,2,2,2,8772
Bfp8_b,LoFi,1,8,2,2,4,12750
Bfp8_b,LoFi,1,8,2,4,1,8830
Bfp8_b,LoFi,1,8,2,4,2,12845
Bfp8_b,LoFi,1,8,4,1,1,12521
Bfp8_b,LoFi,1,8,4,1,2,12916
Bfp8_b,LoFi,1,8,4,1,4,16637
Bfp8_b,LoFi,1,8,4,2,1,12943
Bfp8_b,LoFi,1,8,4,2,2,18639
Bfp8_b,LoFi,1,8,4,4,1,17151
Bfp8_b,LoFi,1,8,8,1,1,25398
Bfp8_b,LoFi,1,8,8,1,2,26107
Bfp8_b,LoFi,1,8,8,2,1,26583
